chembl_compound_id,canonical_smiles,np_likeness (NP-Scout),macrocyclic_label
CHEMBL3964797,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCCC[C@H](NC1=O)C(=O)N,0.52,macrocyclic
CHEMBL3925899,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCCCC[C@H](NC1=O)C(=O)N,0.52,macrocyclic
CHEMBL3907731,CC(=S)NCCCC[C@@H]1NC(=O)CNC(=O)CCCCCCC(=O)NCCCC[C@H](NC1=O)C(=O)N,0.65,macrocyclic
CHEMBL346589,CC(C)(C)C#Cc1ccc2Oc3cc(Cn4cncc4CN5CCN(Cc1c2)C(=O)C5)ccc3C#N,0.17,macrocyclic
CHEMBL1499334,CC(C)(C)C(=O)Nc1ccc2OCCOCCOc3ccc(NC(=O)C(C)(C)C)cc3OCCOCCOc2c1,0.04,macrocyclic
CHEMBL1714800,CC(C)(C)[C@@H]1COC(=O)[C@@H](Cc2ccc(F)cc2)CC\C=C/C[C@@H](CC(=O)N(CCO)Cc3ccccc3)C(=O)N1,0.17,macrocyclic
CHEMBL1438113,CC(C)(C)[C@H]1COC(=O)CCC\C=C\C[C@H](CC(=O)N(CCO)Cc2ccccc2)C(=O)N1,0.37,macrocyclic
CHEMBL365910,CC(C)(C)[C@@H]1NC(=O)[C@@H](CN(O)C=O)CCCCCCCCCCCCCCNC1=O,0.76,macrocyclic
CHEMBL3827446,CC(C)(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)CCNC1=O,0.87,macrocyclic
CHEMBL292632,CC(C)(C)C[C@@H]1NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)O,0.82,macrocyclic
CHEMBL291579,CC(C)(C)C[C@H]1NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)O,0.82,macrocyclic
CHEMBL157295,CC(C)(C)CCc1ccc2Oc3cc(Cn4cncc4CN5CCN(Cc1c2)C(=O)C5)ccc3C#N,0.16,macrocyclic
CHEMBL2407487,CC(C)(C)Cc1cnc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@@H]4Cc5cccc(CCCCCCC(=O)N4)c5)c2c1,0.4,macrocyclic
CHEMBL2407491,CC(C)(C)Cc1cnc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@@H]4Cc5cccc(CCCCN6C=C(C=CC6=O)C(=O)N4)c5)c2c1,0.59,macrocyclic
CHEMBL2407492,CC(C)(C)Cc1cnc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@@H]4Cc5cccc(CCCN6C=C(C=CC6=O)C(=O)N4)c5)c2c1,0.59,macrocyclic
CHEMBL315204,CC(C)(C)NC(=O)CN(C[C@@H](O)[C@H]1Cc2ccc(OCCCC(=O)N[C@@H](CC(=O)N)C(=O)N1)cc2)Cc3ccccc3,0.67,macrocyclic
CHEMBL1356731,CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@@H](CC(=O)N(CCO)Cc2ccccc2)C(=O)N[C@H](COC1=O)c3ccccc3,0.36,macrocyclic
CHEMBL1733487,CC(C)(C)OC(=O)C[C@H]1C\C=C/C[C@H](CC(=O)N(CCO)Cc2ccccc2)C(=O)N[C@H](COC1=O)c3ccccc3,0.36,macrocyclic
CHEMBL1701219,CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@@H](CC(=O)N(CCO)Cc2ccccc2)C(=O)NC[C@@H](OC1=O)c3ccccc3,0.36,macrocyclic
CHEMBL1710976,CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@@H](CC(=O)N[C@H](CO)Cc2ccccc2)C(=O)N3CCC[C@H]3COC1=O,0.4,macrocyclic
CHEMBL1728519,CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@H](CC(=O)N[C@@H](CO)Cc2ccccc2)C(=O)N[C@@H](COC1=O)C(C)(C)C,0.41,macrocyclic
CHEMBL1730133,CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@@H](CC(=O)N[C@@H](CO)Cc2ccccc2)C(=O)NC[C@H](OC1=O)c3ccccc3,0.33,macrocyclic
CHEMBL1731668,CC(C)(C)OC(=O)C[C@@H]1C\C=C/C[C@H](CC(=O)NCCO)C(=O)N2CCC[C@H]2COC1=O,0.5,macrocyclic
CHEMBL1333638,CC(C)(C)OC(=O)N1CCOCCOCCN(CCOCCOCC1)C(=O)OC(C)(C)C,0.03,macrocyclic
CHEMBL3317816,CC(C)(C)OC(=O)NCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c3csc(CNC(=O)C[C@H](OC1=O)\C=C\CCS)n3,0.5,macrocyclic
